2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13
NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5
NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2
